conference,name,abbr,tradition,fanbase,donors,footprint,pipeline,momentum,rivals
SEC,Alabama,ALA,94,95,98,94,97,94,AUB:90;LSU:60;TEN:60
SEC,Arkansas,ARK,77,79,74,92,62,63,MIZ:90
SEC,Auburn,AUB,92,91,89,90,86,64,ALA:90;UGA:60
SEC,Florida,FLA,88,89,90,98,87,63,UGA:90;FSU:60;MIA:60
SEC,Georgia,UGA,95,98,96,92,96,94,FLA:90;GAT:60
SEC,Kentucky,UKY,74,78,78,92,65,62,TEN:90
SEC,LSU,LSU,89,90,91,90,94,62,OLM:90;ALA:60
SEC,Mississippi State,MST,57,59,54,93,48,48,TAM:90
SEC,Missouri,MIZ,78,80,74,74,61,81,ARK:90
SEC,Oklahoma,OKL,95,94,98,72,84,86,TEX:90;OKS:60
SEC,Ole Miss,OLM,83,83,82,91,84,95,LSU:90
SEC,South Carolina,SCA,78,78,75,94,64,64,VAN:90
SEC,Tennessee,TEN,90,91,90,94,86,80,UKY:90;ALA:60
SEC,Texas,TEX,98,97,94,95,97,86,OKL:90;TAM:60
SEC,Texas A&M,TAM,91,93,90,92,87,92,MST:90;TEX:60
SEC,Vanderbilt,VAN,57,59,58,94,50,88,SCA:90
Big Ten,Illinois,ILL,75,76,77,78,73,78,NWU:90
Big Ten,Indiana,IND,66,75,75,79,63,98,PUR:90
Big Ten,Iowa,IOW,75,76,75,80,87,88,NEB:90
Big Ten,Maryland,UMD,58,58,54,58,50,50,RUT:90
Big Ten,Michigan,MIC,97,95,94,80,93,90,OSU:90;MSU:60
Big Ten,Michigan State,MSU,77,78,75,78,75,64,PSU:90;MIC:60
Big Ten,Minnesota,MIN,77,80,75,80,77,62,WIS:90
Big Ten,Nebraska,NEB,91,90,91,71,74,63,IOW:90
Big Ten,Northwestern,NWU,56,60,57,77,50,49,ILL:90
Big Ten,Ohio State,OSU,96,97,97,77,96,95,MIC:90
Big Ten,Oregon,ORE,91,92,89,72,85,93,WAS:90
Big Ten,Penn State,PSU,91,89,91,62,97,64,MSU:90;PIT:60
Big Ten,Purdue,PUR,57,61,55,79,48,48,IND:90
Big Ten,Rutgers,RUT,55,61,54,59,48,50,UMD:90
Big Ten,UCLA,UCL,74,76,75,93,76,63,CAL:90;USC:60
Big Ten,USC,USC,96,94,95,92,88,88,NDE:90;UCL:60
Big Ten,Washington,WAS,90,91,88,74,85,81,ORE:90;WSU:60
Big Ten,Wisconsin,WIS,89,89,89,79,84,64,MIN:90
ACC,Boston College,BCO,57,59,54,60,48,49,SYR:90
ACC,California,CAL,77,78,77,91,62,62,UCL:90;STA:60
