conference,name,abbr,programClass,region,pipelineClass,rivals
SEC,Alabama,ALA,BLUE_BLOOD,SE,ELITE_FACTORY,AUB:90;LSU:60;TEN:60
SEC,Arkansas,ARK,SOLID_POWER,SE,OCCASIONAL,MIZ:90
SEC,Auburn,AUB,NATIONAL_BRAND,SE,STRONG_FACTORY,ALA:90;UGA:60
SEC,Florida,FLA,NATIONAL_BRAND,FL,STRONG_FACTORY,UGA:90;FSU:60;MIA:60
SEC,Georgia,UGA,BLUE_BLOOD,SE,ELITE_FACTORY,FLA:90;GAT:60
SEC,Kentucky,UKY,SOLID_POWER,SE,OCCASIONAL,TEN:90
SEC,LSU,LSU,NATIONAL_BRAND,SE,ELITE_FACTORY,OLM:90;ALA:60
SEC,Mississippi State,MST,MID,SE,LIMITED,TAM:90
SEC,Missouri,MIZ,SOLID_POWER,PLAINS,OCCASIONAL,ARK:90
SEC,Oklahoma,OKL,BLUE_BLOOD,PLAINS,STRONG_FACTORY,TEX:90;OKS:60
SEC,Ole Miss,OLM,STRONG_POWER,SE,STRONG_FACTORY,LSU:90
SEC,South Carolina,SCA,SOLID_POWER,SE,OCCASIONAL,VAN:90
SEC,Tennessee,TEN,NATIONAL_BRAND,SE,STRONG_FACTORY,UKY:90;ALA:60
SEC,Texas,TEX,BLUE_BLOOD,TX,ELITE_FACTORY,OKL:90;TAM:60
SEC,Texas A&M,TAM,NATIONAL_BRAND,TX,STRONG_FACTORY,MST:90;TEX:60
SEC,Vanderbilt,VAN,MID,SE,LIMITED,SCA:90
Big Ten,Illinois,ILL,SOLID_POWER,MIDWEST,PRODUCER,NWU:90
Big Ten,Indiana,IND,RISING_POWER,MIDWEST,OCCASIONAL,PUR:90
Big Ten,Iowa,IOW,SOLID_POWER,MIDWEST,STRONG_FACTORY,NEB:90
Big Ten,Maryland,UMD,MID,NORTHEAST,LIMITED,RUT:90
Big Ten,Michigan,MIC,BLUE_BLOOD,MIDWEST,ELITE_FACTORY,OSU:90;MSU:60
Big Ten,Michigan State,MSU,SOLID_POWER,MIDWEST,PRODUCER,PSU:90;MIC:60
Big Ten,Minnesota,MIN,SOLID_POWER,MIDWEST,PRODUCER,WIS:90
Big Ten,Nebraska,NEB,NATIONAL_BRAND,PLAINS,PRODUCER,IOW:90
Big Ten,Northwestern,NWU,MID,MIDWEST,LIMITED,ILL:90
Big Ten,Ohio State,OSU,BLUE_BLOOD,MIDWEST,ELITE_FACTORY,MIC:90
Big Ten,Oregon,ORE,NATIONAL_BRAND,PACIFIC,STRONG_FACTORY,WAS:90
Big Ten,Penn State,PSU,NATIONAL_BRAND,NORTHEAST,ELITE_FACTORY,MSU:90;PIT:60
Big Ten,Purdue,PUR,MID,MIDWEST,LIMITED,IND:90
Big Ten,Rutgers,RUT,MID,NORTHEAST,LIMITED,UMD:90
Big Ten,UCLA,UCL,SOLID_POWER,CA,PRODUCER,CAL:90;USC:60
Big Ten,USC,USC,BLUE_BLOOD,CA,STRONG_FACTORY,NDE:90;UCL:60
Big Ten,Washington,WAS,NATIONAL_BRAND,PACIFIC,STRONG_FACTORY,ORE:90;WSU:60
Big Ten,Wisconsin,WIS,NATIONAL_BRAND,MIDWEST,STRONG_FACTORY,MIN:90
ACC,Boston College,BCO,MID,NORTHEAST,LIMITED,SYR:90
ACC,California,CAL,SOLID_POWER,CA,OCCASIONAL,UCL:90;STA:60
ACC,Clemson,CLE,NATIONAL_BRAND,SE,ELITE_FACTORY,FSU:90
ACC,Duke,DUK,SOLID_POWER,SE,OCCASIONAL,UNC:90
ACC,Florida State,FSU,NATIONAL_BRAND,FL,STRONG_FACTORY,CLE:90;MIA:60;FLA:60
ACC,Georgia Tech,GAT,SOLID_POWER,SE,PRODUCER,MIA:90;UGA:60
ACC,Louisville,LOU,SOLID_POWER,SE,PRODUCER,PIT:90
ACC,Miami,MIA,NATIONAL_BRAND,FL,STRONG_FACTORY,GAT:90;FSU:60;FLA:60
ACC,NC State,NCS,SOLID_POWER,SE,PRODUCER,WFU:90
ACC,North Carolina,UNC,SOLID_POWER,SE,PRODUCER,DUK:90
ACC,Pittsburgh,PIT,SOLID_POWER,NORTHEAST,PRODUCER,LOU:90;PSU:60
ACC,SMU,SMU,RISING_POWER,TX,OCCASIONAL,STA:90
ACC,Stanford,STA,MID,CA,LIMITED,SMU:90;CAL:60
ACC,Syracuse,SYR,SOLID_POWER,NORTHEAST,OCCASIONAL,BCO:90
ACC,Virginia,UVA,MID,SE,LIMITED,VAT:90
ACC,Virginia Tech,VAT,SOLID_POWER,SE,OCCASIONAL,UVA:90
ACC,Wake Forest,WFU,MID,SE,LIMITED,NCS:90
Big 12,Arizona,ARI,SOLID_POWER,MOUNTAIN,OCCASIONAL,ASU:90
Big 12,Arizona State,ASU,RISING_POWER,MOUNTAIN,OCCASIONAL,ARI:90
Big 12,Baylor,BAY,SOLID_POWER,TX,OCCASIONAL,TCU:90
Big 12,BYU,BYU,RISING_POWER,MOUNTAIN,PRODUCER,UTA:90
Big 12,Cincinnati,CIN,SOLID_POWER,PLAINS,OCCASIONAL,WVU:90
Big 12,Colorado,COL,RISING_POWER,PLAINS,OCCASIONAL,KSU:90
Big 12,Houston,HOU,SOLID_POWER,TX,OCCASIONAL,UCF:90
Big 12,Iowa State,ISU,RISING_POWER,PLAINS,OCCASIONAL,KAN:90
Big 12,Kansas,KAN,SOLID_POWER,PLAINS,OCCASIONAL,ISU:90
Big 12,Kansas State,KSU,STRONG_POWER,PLAINS,PRODUCER,COL:90
Big 12,Oklahoma State,OKS,SOLID_POWER,PLAINS,OCCASIONAL,TTU:90;OKL:60
Big 12,TCU,TCU,SOLID_POWER,TX,PRODUCER,BAY:90
Big 12,Texas Tech,TTU,RISING_POWER,TX,OCCASIONAL,OKS:90
Big 12,UCF,UCF,SOLID_POWER,FL,OCCASIONAL,HOU:90
Big 12,Utah,UTA,STRONG_POWER,MOUNTAIN,PRODUCER,BYU:90
Big 12,West Virginia,WVU,SOLID_POWER,PLAINS,OCCASIONAL,CIN:90
American,Army,ARM,ESTABLISHED_G5,NORTHEAST,OCCASIONAL,NAV:90
American,Charlotte,CLT,DEVELOPING,SE,LIMITED,ECU:90
American,East Carolina,ECU,MID,SE,LIMITED,CLT:90
American,Florida Atlantic,FAU,DEVELOPING,FL,LIMITED,USF:90
American,Memphis,MEM,ESTABLISHED_G5,SE,PRODUCER,TUL:90
American,Navy,NAV,ESTABLISHED_G5,NORTHEAST,OCCASIONAL,ARM:90
American,North Texas,UNT,ESTABLISHED_G5,TX,OCCASIONAL,UTS:90
American,Rice,RIC,MID,TX,LIMITED,TLS:90
American,Temple,TEM,DEVELOPING,NORTHEAST,LIMITED,UAB:90
American,Tulane,TUL,ESTABLISHED_G5,SE,PRODUCER,MEM:90
American,Tulsa,TLS,DEVELOPING,PLAINS,LIMITED,RIC:90
American,UAB,UAB,MID,SE,LIMITED,TEM:90
American,USF,USF,MID,FL,LIMITED,FAU:90
American,UTSA,UTS,ESTABLISHED_G5,TX,OCCASIONAL,UNT:90
Conference USA,Delaware,DEL,DEVELOPING,NORTHEAST,LIMITED,MTS:90
Conference USA,FIU,FIU,DEVELOPING,FL,LIMITED,LIB:90
Conference USA,Jacksonville State,JST,MID,SE,LIMITED,KST:90
Conference USA,Kennesaw State,KST,DEVELOPING,SE,LIMITED,JST:90
Conference USA,Liberty,LIB,ESTABLISHED_G5,SE,OCCASIONAL,FIU:90
Conference USA,Middle Tennessee,MTS,MID,SE,LIMITED,DEL:90
Conference USA,Missouri State,MOS,DEVELOPING,PLAINS,LIMITED,NMS:90
Conference USA,New Mexico State,NMS,MID,MOUNTAIN,LIMITED,MOS:90
Conference USA,Sam Houston,SHS,MID,TX,LIMITED,WKU:90
Conference USA,WKU,WKU,MID,SE,LIMITED,SHS:90
Conference USA,Merrimack,MER,DEVELOPING,NORTHEAST,LIMITED,BEN:90
Conference USA,Bentley,BEN,DEVELOPING,NORTHEAST,LIMITED,MER:90
MAC,Akron,AKR,DEVELOPING,MIDWEST,LIMITED,KEN:90
MAC,Ball State,BSU,DEVELOPING,MIDWEST,LIMITED,MOH:90
MAC,Bowling Green,BGS,MID,MIDWEST,LIMITED,TOL:90
MAC,Buffalo,BUF,MID,NORTHEAST,LIMITED,OHI:90
MAC,Central Michigan,CMU,DEVELOPING,MIDWEST,LIMITED,WMU:90
MAC,Eastern Michigan,EMU,MID,MIDWEST,LIMITED,SAC:90
MAC,Kent State,KEN,DEVELOPING,MIDWEST,LIMITED,AKR:90
MAC,Miami (Ohio),MOH,MID,MIDWEST,LIMITED,BSU:90
MAC,Ohio,OHI,MID,MIDWEST,LIMITED,BUF:90
MAC,Sacramento State,SAC,DEVELOPING,CA,LIMITED,EMU:90
MAC,Toledo,TOL,MID,MIDWEST,LIMITED,BGS:90
MAC,UMass,UMA,DEVELOPING,NORTHEAST,LIMITED,UCN:90
MAC,Western Michigan,WMU,MID,MIDWEST,LIMITED,CMU:90
Mountain West,Air Force,AFA,MID,MOUNTAIN,LIMITED,WYO:90
Mountain West,Hawaii,HAW,MID,MOUNTAIN,LIMITED,NEV:90
Mountain West,Nevada,NEV,DEVELOPING,MOUNTAIN,LIMITED,HAW:90
Mountain West,New Mexico,UNM,DEVELOPING,MOUNTAIN,LIMITED,UTP:90
Mountain West,North Dakota State,NDS,ESTABLISHED_G5,PLAINS,PRODUCER,NIU:90
Mountain West,Northern Illinois,NIU,MID,MIDWEST,OCCASIONAL,NDS:90
Mountain West,San Jose State,SJS,MID,CA,LIMITED,UNL:90
Mountain West,UNLV,UNL,ESTABLISHED_G5,MOUNTAIN,OCCASIONAL,SJS:90
Mountain West,UTEP,UTP,DEVELOPING,TX,LIMITED,UNM:90
Mountain West,Wyoming,WYO,MID,MOUNTAIN,LIMITED,AFA:90
Pac-12,Boise State,BOI,RISING_POWER,MOUNTAIN,PRODUCER,FRE:90
Pac-12,Colorado State,CSU,MID,MOUNTAIN,LIMITED,UST:90
Pac-12,Fresno State,FRE,ESTABLISHED_G5,CA,OCCASIONAL,BOI:90
Pac-12,Oregon State,ORS,ESTABLISHED_G5,PACIFIC,OCCASIONAL,WSU:90
Pac-12,San Diego State,SDS,MID,CA,LIMITED,TST:90
Pac-12,Texas State,TST,ESTABLISHED_G5,TX,OCCASIONAL,SDS:90
Pac-12,Utah State,UST,MID,MOUNTAIN,LIMITED,CSU:90
Pac-12,Washington State,WSU,ESTABLISHED_G5,PACIFIC,OCCASIONAL,ORS:90;WAS:60
Sun Belt,Appalachian State,APP,ESTABLISHED_G5,SE,OCCASIONAL,JMU:90
Sun Belt,Arkansas State,ARS,MID,SE,LIMITED,ULL:90
